,baseline survival
0.0004327787677512,1.0
0.000724151520887,1.0
0.0014679228635151,1.0
0.0028419283099446,1.0
0.003376652022582,1.0
0.005451530998772,1.0
0.0059368353976804,1.0
0.0066644237443772,1.0
0.0089754678399273,1.0
0.0100547798702228,1.0
0.0114292229700323,1.0
0.0126238080712036,1.0
0.0138240554400294,1.0
0.0151797634062039,1.0
0.0156736073002138,1.0
0.0167713495513803,1.0
0.0185813897322881,1.0
0.0189414425176615,1.0
0.0205386926243722,1.0
0.022353474639298,1.0
0.026341279870574,1.0
0.0280036793495252,1.0
0.0293719996416869,1.0
0.0313890379059653,1.0
0.0324737552270784,1.0
0.0326479735295918,1.0
0.0330198236003028,1.0
0.033407465941466,1.0
0.0337554288682167,1.0
0.0356245749415916,1.0
0.0360294980027084,1.0
0.0360588058524727,1.0
0.0378559209840397,1.0
0.038780328126394,1.0
0.0399473144889599,1.0
0.0436719310911983,1.0
0.0443707719038855,1.0
0.0463253361879811,1.0
0.0484607981642887,1.0
0.050033524501641,1.0
0.0504484147655119,1.0
0.0514443646162656,1.0
0.0536189986740459,1.0
0.0538954731156392,1.0
0.0547790797709226,1.0
0.0557352143869562,1.0
0.0563822657362862,1.0
0.0567979717578023,1.0
0.0599083162203308,1.0
0.0600863924372896,1.0
0.0602988707654584,1.0
0.0607194714760794,1.0
0.0637641869147413,1.0
0.0645837538838977,1.0
0.0654282819181643,1.0
0.0656855764276567,1.0
0.0675332957910556,1.0
0.0719201611285901,1.0
0.072648333610115,1.0
0.0744265364493212,1.0
0.0744695802308794,1.0
0.0757688454516468,1.0
0.0777508600800307,1.0
0.0799817199026655,1.0
0.0805335462194973,1.0
0.0813184653243501,1.0
0.0828908078707764,1.0
0.0837977210360424,1.0
0.0838182630721837,1.0
0.0841046491390609,1.0
0.0875792056304319,1.0
0.0885325381775182,1.0
0.0892090736322934,1.0
0.0908606678452013,1.0
0.0920077046850124,1.0
0.0921199896229826,1.0
0.0928610323751782,1.0
0.0929037458718157,1.0
0.0931426957164584,1.0
0.0932673385653327,1.0
0.0935303611203875,1.0
0.0946128874834371,1.0
0.0949956047537288,1.0
0.0954663299208058,1.0
0.0969625841772861,1.0
0.0970821642707255,1.0
0.0974897749040785,1.0
0.0977067093714034,1.0
0.0978077455580583,1.0
0.0980455859605577,1.0
0.0985132413986551,1.0
0.0993501454508677,1.0
0.09972590367642,1.0
0.1020281369380435,1.0
0.1020590962196326,1.0
0.1028987752844702,1.0
0.1033080698560848,1.0
0.1043017674725268,1.0
0.1045241346210055,1.0
0.1045995710371963,1.0
0.1068750338309895,1.0
0.1072512814104841,1.0
0.1073112099602626,1.0
0.1074502156453603,1.0
0.1076362946021854,1.0
0.1083454691955799,1.0
0.108451559503724,1.0
0.1097254598374338,1.0
0.1102654644654011,1.0
0.1104030570127706,1.0
0.1121887625904,1.0
0.1124775436497472,1.0
0.1127768087161396,1.0
0.1137071128401309,1.0
0.1141927097188447,1.0
0.1143696712833304,1.0
0.1149408427464608,1.0
0.1152745347064298,1.0
0.1155719339446435,1.0
0.1155936977302763,1.0
0.1157641039329389,1.0
0.1160503611974426,1.0
0.1162008722429588,1.0
0.1164347161147285,1.0
0.1169537372848431,1.0
0.1172409484666545,1.0
0.1179031953409357,1.0
0.1182385884747255,1.0
0.1190952918721455,1.0
0.1191192297534866,1.0
0.1197923765366431,1.0
0.1202472760804246,1.0
0.1212281357361018,1.0
0.1213795565675223,1.0
0.1215973261186305,1.0
0.1218192022260765,1.0
0.1221566148201799,1.0
0.1234238346689703,1.0
0.1236170298901584,1.0
0.1251873529711425,1.0
0.1254783879529169,1.0
0.125520006217522,1.0
0.1255499782327944,1.0
0.1257038862303454,1.0
0.1257383965144433,1.0
0.1266220285518548,1.0
0.1275727634220434,1.0
0.1286102457706679,1.0
0.1288854034204906,1.0
0.1310910607556301,1.0
0.132013277806919,1.0
0.1328115804603146,1.0
0.1335766440164397,1.0
0.1338249042503632,1.0
0.1341523781435685,1.0
0.1345654007335991,1.0
0.1346026519018883,1.0
0.1352217640553673,1.0
0.1358399740894002,1.0
0.1364724651903647,1.0
0.1370437727691651,1.0
0.137966156196175,1.0
0.1404591756763866,1.0
0.1412704162383229,1.0
0.1418532920226327,1.0
0.1421120632551729,1.0
0.1423155458438724,1.0
0.1426373707865259,1.0
0.1428838523987503,1.0
0.1429157221331908,1.0
0.1430843740961268,1.0
0.143599342322029,1.0
0.1436998252112916,1.0
0.144628920827598,1.0
0.1450102224527863,1.0
0.1462156393710683,1.0
0.146418728184459,1.0
0.1465671279642483,1.0
0.148596457021195,1.0
0.1488892247601955,1.0
0.148927074401999,1.0
0.1490095852725825,1.0
0.14934306436824,1.0
0.1494544200845367,1.0
0.1495125511704897,1.0
0.149577644963475,1.0
0.1499089347505516,1.0
0.1508986960867744,1.0
0.1509862227426149,1.0
0.1513273853583317,1.0
0.1515681225535287,1.0
0.1521336431966228,1.0
0.1525653988713743,1.0
0.1528429295955781,1.0
0.1528605734116376,1.0
0.153335303485262,1.0
0.1535016658328988,1.0
0.1545325787609887,1.0
0.1552440271432256,1.0
0.155326259771924,1.0
0.1554235654115549,1.0
0.1568340612042501,1.0
0.1570291328807539,1.0
0.157424202547659,1.0
0.1575584252550882,1.0
0.158429702470506,1.0
0.1588455470349971,1.0
0.159188260322416,1.0
0.1592580868919459,1.0
0.1597168426956124,1.0
0.1604404405792671,1.0
0.1605623692793383,1.0
0.1606845013007163,1.0
0.1607025260749838,1.0
0.1609689768388919,1.0
0.1611869473900071,1.0
0.1613438959441932,1.0
0.1625037999705874,1.0
0.1629839192217705,1.0
0.1632593468979738,1.0
0.1637758333347997,1.0
0.1638550322141727,1.0
0.1640815127112632,1.0
0.1643179379501946,1.0
0.1650992431381084,1.0
0.1656094754864902,1.0
0.1658642382473612,1.0
0.1663115658000471,1.0
0.1664325036091034,1.0
0.1675349977811449,1.0
0.1676533335383612,1.0
0.1678939475751361,1.0
0.1682986838841067,1.0
0.1688201991060165,1.0
0.1704833601560734,1.0
0.1707992180123033,1.0
0.1708022958814336,1.0
0.1708376922280245,1.0
0.1709100547266149,1.0
0.1709589359336554,1.0
0.1720041527670535,1.0
0.1721654947066616,1.0
0.1729841254547774,1.0
0.1732323833995321,1.0
0.1733362670442736,1.0
0.1734580377539585,1.0
0.1741293741705734,1.0
0.1751575302784233,1.0
0.175302001210371,1.0
0.1753623208490557,1.0
0.1754266945421088,1.0
0.1754449492324497,1.0
0.1762323545750338,1.0
0.1765142145217352,1.0
0.1767084775594638,1.0
0.1773848063973244,1.0
0.1774506506093837,1.0
0.1775297574821064,1.0
0.1775605689916582,1.0
0.1779635786956528,1.0
0.1781923700898043,1.0
0.1782206516888153,1.0
0.1786026760788051,1.0
0.1786502005341633,1.0
0.1789477021761767,1.0
0.1793107300192225,1.0
0.1795809448318894,1.0
0.179885594609683,1.0
0.1800077594615627,1.0
0.1801829371575006,1.0
0.1802191328704689,1.0
0.1818387072291966,1.0
0.1820638597266498,1.0
0.1821040629032911,1.0
0.1822800631726938,1.0
0.1824874521720151,1.0
0.1825587292182154,1.0
0.1830567662658051,1.0
0.1836039869769288,1.0
0.1838728893791074,1.0
0.1845590170436888,1.0
0.1846869298379209,1.0
0.1847735060684975,1.0
0.1852568284869294,1.0
0.1853275764682925,1.0
0.1857508294005348,1.0
0.186361238909694,1.0
0.1866296983262266,1.0
0.1868068210455618,1.0
0.1870128063753332,1.0
0.1879687193855472,1.0
0.1886992416968302,1.0
0.1888727577989827,1.0
0.1889671267646226,1.0
0.1893201259121609,1.0
0.1893434140953646,1.0
0.1896732998771606,1.0
0.1901202507967156,1.0
0.1906553283811991,1.0
0.1913661629222352,1.0
0.1914048300891106,1.0
0.1914642517622769,1.0
0.1924555316179629,1.0
0.1928120078885177,1.0
0.1930352391477993,1.0
0.1933608529592677,1.0
0.1936963304163809,1.0
0.193771517900856,1.0
0.1939328049326463,1.0
0.1939869570337696,1.0
0.1941478280551643,1.0
0.1942700052802579,1.0
0.1945481169097841,1.0
0.1947380606636182,1.0
0.1954040231280612,1.0
0.195728865231755,1.0
0.1971962007025508,1.0
0.197233206249871,1.0
0.1975077151061632,1.0
0.1975503768303794,1.0
0.1976141429361124,1.0
0.1976866555253502,1.0
0.1985031732190695,1.0
0.1989495674493852,1.0
0.1989650781443814,1.0
0.1998660394517138,1.0
0.2010441392566117,1.0
0.201056060792385,1.0
0.2017971218561791,1.0
0.2018237434638542,1.0
0.2023345041443422,1.0
0.2024240299252888,1.0
0.2027379146364964,1.0
0.203157133817823,1.0
0.2032300233116957,1.0
0.2037542319907392,1.0
0.2043813915993458,1.0
0.2044367746516231,1.0
0.2052153438413888,1.0
0.2052561036994282,1.0
0.2060434220017396,1.0
0.2060790498617643,1.0
0.2061770788497292,1.0
0.2063687365450207,1.0
0.2067409363564375,1.0
0.2068985916425379,1.0
0.206932024489111,1.0
0.2082234713815159,1.0
0.2087883937234803,1.0
0.2098023743783852,1.0
0.209984717071493,1.0
0.2100018128748308,1.0
0.21088912317134,1.0
0.211279756799625,1.0
0.2117443680842129,1.0
0.2123346613094243,1.0
0.2123945194344318,1.0
0.21291149395558,1.0
0.2132913959414399,1.0
0.2137193547555881,1.0
0.2138038610415343,1.0
0.2138501130567046,1.0
0.2139296485041026,1.0
0.2140560636004959,1.0
0.2142727490412481,1.0
0.2154412343656467,1.0
0.2156531471182341,1.0
0.2157957540369462,1.0
0.2158815469954993,1.0
0.2160700901142274,1.0
0.216210684207291,1.0
0.2163957144394656,1.0
0.2167015651432146,1.0
0.2167548953074197,1.0
0.2171138973383437,1.0
0.2171655824595313,1.0
0.2174638905156055,1.0
0.2186838412579324,1.0
0.2192659867158007,1.0
0.2193989356270054,1.0
0.2201458667888533,1.0
0.2203344304159306,1.0
0.2204768382508505,1.0
0.2213825126422619,1.0
0.2219342507375003,1.0
0.222441657711238,1.0
0.2240119553407029,1.0
0.2244424846595996,1.0
0.2245027328245966,1.0
0.2256886800839209,1.0
0.2257501633263273,1.0
0.225868181689325,1.0
0.2259315285417387,1.0
0.226153373183457,1.0
0.2267223741655619,1.0
0.2274027782751056,1.0
0.2280380021363488,1.0
0.228086851348541,1.0
0.228326351192124,1.0
0.2284231282928772,1.0
0.2289437877523895,1.0
0.2290571297356923,1.0
0.2290655639619843,1.0
0.2291444187226464,1.0
0.2299246459319867,1.0
0.2302638609439211,1.0
0.230606927299844,1.0
0.2308474698208786,1.0
0.2319008883495308,1.0
0.2320149336787961,1.0
0.2324029407628585,1.0
0.2325425619569114,1.0
0.23255875997094,1.0
0.2326315299104634,1.0
0.2330095421670421,1.0
0.2353015351576302,1.0
0.2355486608136003,1.0
0.2358472165711784,1.0
0.2358811462127074,1.0
0.2364217387218334,1.0
0.2366963520316262,1.0
0.2367544615662727,1.0
0.2372139286746471,1.0
0.2374626690568709,1.0
0.2376215602648493,1.0
0.2383735583287992,1.0
0.2385365853066038,1.0
0.2393632541122338,1.0
0.239639959080651,1.0
0.2404716666838536,1.0
0.2408242278378782,1.0
0.2409607467345113,1.0
0.2415013802778428,1.0
0.2417452934578293,1.0
0.2422212166622736,1.0
0.2431060035569361,1.0
0.243726322227048,1.0
0.2444021630014233,1.0
0.2445745453596294,1.0
0.2448049335684542,1.0
0.2448899766496844,1.0
0.2449623705402048,1.0
0.2452230739599616,1.0
0.2452692605366413,1.0
0.2452830068675753,1.0
0.2453393249505586,1.0
0.2455591145006366,1.0
0.2456382853034628,1.0
0.2458569490964024,1.0
0.2461547525645036,1.0
0.2461599018668256,1.0
0.2462290959320948,1.0
0.2471586623557643,1.0
0.2472975158296816,1.0
0.2475960021643941,1.0
0.2488876987896673,1.0
0.2492226355758955,1.0
0.2494065224934589,1.0
0.2495237077493491,1.0
0.2495496472341436,1.0
0.2496688718228796,1.0
0.2501441618289368,1.0
0.2503989923792332,1.0
0.2505793793903975,1.0
0.2508657260572334,1.0
0.250922203282202,1.0
0.2511458155061958,1.0
0.2513398357026424,1.0
0.2513409045375052,1.0
0.2514977442000529,1.0
0.2515646169218538,1.0
0.2519016960503307,1.0
0.2520488061604736,1.0
0.2525619486057899,1.0
0.2527359636707687,1.0
0.252947787278391,1.0
0.253222243606122,1.0
